project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL 
org.apache.cxf.dosgi.samples||cxf-dosgi-ri-samples-spring-dm-interface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.ws.scout||jaxr-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.google.code.facebookapi||facebook-java-api-schema,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA
com.googlecode.rocoto||rocoto-simple-configuration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.chromattic||chromattic.spi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.graniteds||granite-openjpa,1,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
de.saumya.mojo||runit-maven-plugin,NA,NA,NA,5,NA,10,NA,1,NA,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA
net.sourceforge.openutils||openutils-mgnlbootstrapsync,NA,NA,NA,NA,NA,10,NA,NA,NA,5,NA,2,NA,NA,NA,1,NA,NA,NA,NA
org.criticalsection.maven||mtn-maven-scm-provider,NA,2,NA,2,NA,3,4,1,NA,2,NA,3,NA,NA,2,1,NA,NA,NA,1
org.apache.maven.wagon||wagon-http-lightweight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
de.berlios.jsunit||jsunit-maven2-plugin,3,NA,NA,NA,NA,2,8,NA,NA,4,NA,1,NA,NA,2,2,6,NA,NA,NA
javax.jdo||jdo2-api,7,NA,NA,6,NA,54,6,1,NA,48,10,7,92,NA,1,8,51,NA,NA,NA
org.apache.aries.proxy||org.apache.aries.proxy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sourceforge.fmpp||fmpp,9,NA,NA,6,NA,39,20,3,NA,18,7,21,14,7,5,9,20,14,NA,NA
org.apache.tomcat.embed||tomcat-embed-logging-log4j,6,10,NA,NA,NA,70,30,NA,NA,5,14,7,140,4,3,1,60,40,NA,1
org.mattressframework||mattress-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.cedarsoft.business||contact,NA,NA,NA,6,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
org.codehaus.sonar.plugins||sonar-plugin-findbugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.surefire||surefire-booter,14,6,NA,8,NA,122,153,3,NA,119,19,34,109,5,21,20,76,16,NA,2
org.apache.maven.mercury||mercury-md-sat,17,NA,NA,8,NA,16,2,2,NA,7,NA,4,NA,NA,2,4,20,NA,NA,NA
ws-commons||axiom-impl,11,NA,NA,10,NA,3,8,6,NA,11,1,2,3,NA,4,5,25,NA,NA,NA
com.agilejava.docbkx||docbkx-maven-base,NA,NA,NA,NA,NA,5,NA,NA,NA,16,NA,1,NA,NA,NA,2,NA,NA,NA,NA
org.mockftpserver||MockFtpServer,2,NA,NA,NA,NA,12,123,NA,NA,13,3,4,31,4,12,2,13,26,NA,NA
org.codehaus.service-conduit||sca4j-atomikos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.sonatype.gshell.commands||gshell-network,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.mojo.jspc||jspc-compiler-tomcat6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.mojo.jspc||jspc-compiler-tomcat5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sourceforge.andspidclient||ands-pid-client,1,5,NA,NA,NA,5,5,NA,NA,NA,NA,1,NA,NA,1,NA,5,NA,NA,1
org.python||jython-standalone,1220,11,NA,111,NA,1016,80,61,NA,289,321,488,631,28,50,147,2644,46,NA,6
org.jclouds||jclouds-speedtest-sqs,710,7,NA,130,NA,1191,58,124,NA,96,186,1173,189,12,43,91,713,12,NA,7
org.apache.servicemix||servicemix-soap,1,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,3,NA,2,11,33,NA,NA
maven||maven-dashboard-plugin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jvnet.hudson.plugins||analysis-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.service-conduit||sca4j-host-api,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,2,NA,4,NA,3,NA,NA,NA,NA,NA
org.apache.juddi||juddi-ws,1,NA,NA,12,NA,NA,4,3,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA
org.powermock||powermock-api-mockito,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,4,NA,NA,NA,4,NA,NA,NA
org.graniteds||granite-core,21,NA,NA,7,NA,266,52,1,NA,210,23,36,157,6,6,20,140,42,NA,NA
org.yestech||yesepisodic,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA
net.usikkert.kouinject||kouinject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sf.filepiper||file-piper,NA,6,NA,2,NA,2,32,1,NA,NA,NA,1,NA,3,8,NA,NA,6,NA,3
ymsg||ymsg-support,2,NA,NA,1,NA,5,1,1,NA,9,6,5,6,1,1,9,2,1,NA,NA
org.mod4j||mod4j-maven-plugin,NA,NA,NA,16,NA,4,NA,4,NA,15,NA,4,NA,NA,NA,3,NA,NA,NA,NA
ant||ant-jakarta-bcel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.parancoe||parancoe-plugin-italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jpox||jpox-swarmcache,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
it.tidalwave.netbeans||it-tidalwave-netbeans-automatedtests,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16,NA,NA,NA
com.google.sitebricks||sitebricks-mail,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,1,NA,NA,NA
org.codehaus.fabric3||fabric3-async-provision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.intellij||forms_rt,7,NA,NA,5,NA,12,NA,2,NA,NA,17,4,59,NA,NA,NA,27,NA,NA,NA
netbeans||cvslib,13,NA,NA,6,NA,121,106,3,NA,55,23,62,46,8,36,28,25,16,NA,NA
org.wamblee.glassfish||flexiblejdbcrealm-impl,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA
org.jbundle.util.webapp||org.jbundle.util.webapp.osgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.grouplens.lenskit||lenskit-svd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA
net.liftweb||lift-widgets_2.7.7,41,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,21,NA,2,NA,NA,508,26,NA,NA
org.milyn||maven-ect-plugin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.scm||maven-scm-provider-gitexe,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA
mule||mule-xfire-provider,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,3,1,NA,NA,NA
org.codehaus.izpack||izpack-tools,1,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,1,1,7,NA,NA,NA
de.bwaldvogel||liblinear,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
org.acegisecurity||acegi-security-resin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.slf4j||slf4j-jcl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.tynamo||tapestry-model-jpa,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
org.apache.servicemix.bundles||org.apache.servicemix.bundles.fop,132,NA,NA,31,NA,73,12,31,NA,89,150,73,152,7,10,89,136,7,NA,NA
org.codehaus.mojo||l10n-maven-plugin,NA,NA,NA,1,NA,4,NA,1,NA,8,NA,2,NA,NA,NA,4,NA,NA,NA,NA
de.devsurf.injection.guice.integrations||de.devsurf.injection.guice.integrations.rocoto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
it.tidalwave.bluebill||it-tidalwave-semantic-io-json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.brillien.streamline||streamline-webserver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA
net.sf.ehcache||ehcache,273,42,NA,315,NA,1074,210,73,NA,540,378,289,1330,89,33,111,1254,576,NA,14
com.jgoodies||binding,NA,NA,NA,NA,NA,203,NA,NA,NA,2,NA,41,NA,1,NA,2,NA,8,NA,NA
org.apache.directory.server||apacheds-kerberos-codec,3,1,NA,4,NA,14,3,4,NA,2,35,14,38,NA,3,2,3,NA,NA,1
org.ow2.novabpm||novaBpmUtil,4,1,NA,1,NA,20,24,1,NA,6,3,7,5,3,5,2,9,9,NA,1
net.rumati.sql||sqlblocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
it.tidalwave.netbeans||it-tidalwave-netbeans-indexedfilesystem,1,NA,NA,16,NA,NA,NA,2,NA,NA,1,NA,8,NA,NA,NA,8,NA,NA,NA
org.sonatype.configuration||base-configuration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.duelengine||merge-builder,4,5,NA,NA,NA,8,7,NA,NA,4,NA,8,NA,NA,6,4,4,NA,NA,5
org.nakedobjects.plugins||xml-persistor,NA,NA,NA,NA,NA,12,NA,NA,NA,12,NA,3,NA,NA,NA,3,NA,NA,NA,NA
org.objectweb.fractal.bf.examples||fractal-bf-examples-helloworld-osgi-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.geronimo.modules||geronimo-jdbc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jvnet.hudson.plugins||ftppublisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,1,NA,4,NA,NA
org.fusesource.jdbm||jdbm,10,NA,NA,4,NA,16,10,2,NA,22,6,8,12,6,5,11,22,12,NA,NA
org.yestech||jmlnitrate,3,NA,NA,4,NA,4,2,2,NA,8,8,2,16,NA,1,4,6,NA,NA,NA
org.codehaus.modello||modello-plugin-prevayler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.sonatype.spice.inject||guice-patches,9,NA,NA,6,NA,134,3,2,NA,6,8,27,30,2,1,2,32,8,NA,NA
org.apache.rat||apache-rat-tasks,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA
org.apache.directory.shared||shared-cursor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sf.doolin||doolin-tabular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.sonatype.sisu||sisu-guice,17,NA,NA,4,NA,180,2,4,NA,19,13,29,32,2,2,18,27,11,NA,NA
org.milyn.edi.unedifact||d03a-binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.geronimo.javamail||geronimo-javamail_1.4_mail,81,NA,NA,122,NA,163,481,17,NA,170,37,19,368,30,57,26,693,228,NA,NA
msv||relaxngDatatype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jvnet.ogc||wcs-v_1_1_0-schema,62,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,132,NA,NA,NA
com.dooapp||gaedo-definition,NA,NA,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA
org.objectweb.joram||joram-mom-extensions-collector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
it.tidalwave.thesefoolishthings||it.tidalwave.singlelinelogformatter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.atmosphere||atmosphere-compat-tomcat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.patterntesting||patterntesting-check-ct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.sirika.hchelpers||hchelpers-core,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,1,NA,NA,NA,NA
org.ow2.easywsdl||easywsdl-ext-wsdl4complexwsdl,34,NA,NA,289,NA,8,NA,37,NA,NA,NA,1,NA,NA,NA,NA,262,NA,NA,NA
com.cloudbees||cloudbees-api-client,1,2,NA,NA,NA,8,1,NA,NA,4,5,8,5,NA,1,4,1,NA,NA,2
org.apache.servicemix.bundles||org.apache.servicemix.bundles.commons-digester,3,NA,NA,3,NA,NA,NA,1,NA,66,20,NA,60,NA,NA,22,9,NA,NA,NA
org.codehaus.mevenide||nb-project,37,NA,NA,75,NA,195,63,12,NA,390,18,51,119,15,9,77,197,110,NA,NA
org.codehaus.mojo||java-boot-classpath-detector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.beust||jcommander,2,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,2,NA,17,NA,NA,NA
com.google.api.client||google-api-data-sidewiki-v2-atom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.plexus.security||plexus-security-user-management-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.mule.transports||mule-transport-oracleaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.servicemix.jbi.cluster||org.apache.servicemix.jbi.cluster.requestor,2,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,4,8,NA,NA
org.codehaus.woodstox||wstx-asl,12,36,NA,146,NA,824,72,6,NA,199,87,40,1847,3,4,16,132,62,NA,2
mockobjects||mockobjects-jdk1.4,NA,NA,NA,96,NA,3,3,32,NA,5,5,1,9,NA,1,2,NA,NA,NA,NA
mockobjects||mockobjects-jdk1.3,NA,NA,NA,96,NA,3,3,32,NA,5,5,1,9,NA,1,2,NA,NA,NA,NA
com.cedarsoft.serialization.generator||stax-mate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.servicemix.examples||cxf-osgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.mojo.hibernate3||maven-hibernate3-api,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
it.tidalwave.netbeans||it-tidalwave-netbeans-downloadprogresspane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.fuzzydb||org.fuzzydb.server,4,NA,NA,NA,NA,12,NA,NA,NA,2,2,6,4,4,NA,1,7,8,NA,NA
org.apache.felix||org.apache.felix.gogo.shell,NA,NA,NA,NA,NA,4,20,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA
ca.grimoire.maven||maven-utils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.directory.shared||shared-ldap-codec-core,7,NA,NA,8,NA,NA,16,2,NA,NA,25,NA,100,NA,4,NA,28,NA,NA,NA
org.apache.james||apache-james-mailbox-jpa,NA,NA,NA,19,NA,23,NA,6,NA,NA,2,7,4,NA,NA,NA,NA,NA,NA,NA
org.apache.tuscany.sca||tuscany-implementation-script,1,NA,NA,5,NA,NA,24,1,NA,NA,NA,NA,NA,1,2,NA,6,6,NA,NA
dk.eobjects.commons||MetaModel,3,8,8,NA,23,98,NA,NA,6,16,14,21,110,NA,NA,2,14,NA,1,1
net.sourceforge.schemacrawler||schemacrawler-mysql,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.groovy||groovy-jdk14,32,13,NA,60,NA,192,50,5,NA,34,7,16,84,NA,4,5,444,NA,NA,2
org.hdiv||hdiv-spring-mvc-2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmalade||marmalade-compat-ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
com.vecna||dbDiff,1,NA,NA,3,NA,5,NA,3,NA,3,NA,5,NA,NA,NA,3,1,NA,NA,NA
org.springframework.integration||spring-integration-xml,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA
mx.bigdata.anyobject||anyobject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.cdmckay.coffeedom||coffeedom,6,2,NA,NA,NA,14,NA,NA,NA,8,NA,7,NA,NA,NA,4,12,NA,NA,1
net.sf.squirrel-sql.plugins||sqlval,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA
org.zeroturnaround||aspectj-jr-plugin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.powermock.examples||powermock-examples-documentationexamples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.wadi||wadi-core,12,3,NA,57,NA,407,NA,8,NA,110,49,64,368,23,NA,18,89,92,NA,3
it.tidalwave.netbeans||it-tidalwave-netbeans-examples-nodes-example4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.eclipse.osgi||util,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,1,1,NA,2,2,NA,NA
org.sonatype.spice||jersey-ahc-client,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.scm||maven-scm-provider-hg,1,NA,NA,7,NA,NA,NA,1,NA,29,NA,NA,NA,NA,NA,7,7,NA,NA,NA
org.apache.directory.shared||shared-ldap-extras-sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
de.huxhorn.sulky||de.huxhorn.sulky.formatting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.openl.rules||org.openl.rules.mapping.dev.modified,61,3,NA,12,NA,101,16,12,NA,36,55,94,55,22,16,32,63,22,NA,3
org.mortbay.jetty||jetty-xml,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,NA,1,2,4,NA,NA
batik||batik-rasterizer,1,NA,NA,NA,NA,6,NA,NA,NA,3,47,2,141,NA,NA,1,3,NA,NA,NA
org.codehaus.service-conduit||sca4j-binding-tcp,NA,NA,NA,10,NA,NA,NA,1,NA,20,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
org.codehaus.redback||redback-configuration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.servicemix||servicemix-eip,NA,NA,NA,NA,NA,30,NA,NA,NA,53,10,3,110,1,NA,9,NA,10,NA,NA
org.sonatype.sisu.inject||guice-plexus-scanners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.liftweb||lift-proto_2.9.0-1,8,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,15,NA,3,NA,NA,24,9,NA,NA
org.sonatype.maven.shell||mvnsh-bootstrap,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.camel||camel-uface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.felix||org.apache.felix.webconsole,32,20,8,59,NA,336,379,12,NA,119,41,39,259,10,28,27,178,48,2,3
org.powermock.examples||powermock-examples-hamcrestexample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.mod4j||mod4j-businessdomain-validation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.ow2.frascati.factory||frascati-factory-tools,NA,NA,NA,2,NA,24,NA,1,NA,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA
org.javatuples||javatuples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nanocontainer||nanocontainer-swing,1,NA,NA,3,NA,1,NA,1,NA,8,4,1,16,NA,NA,2,4,NA,NA,NA
org.apache.activemq||apollo-cli,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,2,10,8,2,NA,NA,NA,8,NA,NA
org.apache.tika||tika-app,1543,217,1,1037,NA,4562,2265,419,NA,2575,1643,1732,4767,256,557,1330,3626,451,1,77
com.dyuproject.protostuff||protostuff-core,NA,NA,NA,4,NA,NA,NA,2,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA
net.jini||jini-core,2,NA,NA,NA,NA,16,NA,NA,NA,NA,6,8,12,NA,NA,NA,4,NA,NA,NA
au.com.alderaan||eclipselink-staticweave-maven-plugin,1,NA,NA,10,NA,NA,2,5,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,NA
org.apache.struts||struts-mailreader-dao,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA
de.huxhorn.lilith||de.huxhorn.lilith.data.eventsource,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,24,NA,NA,NA,20,NA,NA,NA
org.apache.wink||wink-assembly-aggregatejar-osgi,38,NA,NA,33,NA,55,86,14,NA,76,23,19,65,2,28,23,77,6,NA,NA
com.custardsource.parfait||parfait-jmx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.gwtplatform||gwtp-crawler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.service-conduit||sca4j-fabric,3,10,NA,10,NA,95,10,1,NA,20,NA,10,NA,2,1,2,30,20,NA,1
org.codehaus.yfaces||yfaces-core,11,NA,NA,NA,NA,6,2,NA,NA,9,NA,5,NA,NA,2,6,12,NA,NA,NA
org.codehaus.xsite||xsite-ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.unitils||unitils,23,1,NA,NA,NA,91,251,NA,NA,24,9,11,40,NA,17,6,86,NA,NA,1
org.apithefire||apithefire-sql-h2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.mortbay.jetty||example-jetty-spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.myfaces.buildtools||myfaces-builder-annotations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.james||james-server-netty-socket,NA,2,NA,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
org.dspace||dspace-lni-core,5,NA,20,NA,NA,NA,180,NA,NA,30,NA,NA,NA,2,9,2,65,30,1,NA
berkano||berkano-util,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,10,NA,NA,1,NA,NA,NA,NA
org.jasig||resource-aggregator-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.lucene||lucene-analyzers,122,NA,NA,9,NA,127,58,3,NA,193,39,11,586,NA,5,23,445,NA,NA,NA
xdoclet||xdoclet-orion-module,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.powermock||powermock-module-testng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hivemind||hivemind-jmx,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,5,NA,NA,1,NA,NA,NA,NA
taglibs||string,3,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,19,NA,NA,1,9,NA,NA,NA
org.ow2.frascati.upnp||frascati-metamodel-upnp,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA
