project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
org.milyn.edi.unedifact||d99a-binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.springframework||spring-hibernate3,1,NA,NA,NA,NA,NA,30,NA,NA,NA,11,NA,175,NA,2,NA,16,NA,NA,NA
org.springframework||spring-hibernate2,1,NA,NA,NA,NA,NA,30,NA,NA,NA,3,NA,48,2,2,NA,16,12,NA,NA
org.objectweb.fractal.fractaljmx||fractal-jmx,4,NA,NA,NA,NA,NA,NA,NA,NA,32,2,NA,8,2,NA,9,16,4,NA,NA
org.apache.hadoop||hadoop-core,87,13,NA,20,4,207,154,14,2,24,99,92,169,84,74,17,149,140,NA,7
ca.grimoire||formtree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
excalibur-event||excalibur-event,7,NA,NA,NA,NA,22,18,NA,NA,14,1,11,2,NA,6,7,14,NA,NA,NA
net.liftweb||lift-wizard_2.9.0-1,1,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA
org.onebusaway||onebusaway-gtfs-transformer,1,NA,NA,14,NA,78,48,3,NA,14,13,10,97,1,7,2,1,7,NA,NA
com.google.api.client||google-api-data-maps-v2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jbehave||jbehave-ant,NA,NA,NA,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,1,2,NA,NA,NA,NA
org.sonatype.spice.inject||guice-bean-containers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.qpid||qpid-common,15,NA,NA,6,NA,14,8,6,NA,4,95,11,95,3,8,4,15,3,NA,NA
com.melloware||jintellitype,1,7,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,6,NA,1
org.ow2.petals||petals-launcher,3,NA,NA,NA,NA,41,12,NA,NA,32,4,12,9,1,2,5,11,2,NA,NA
org.zeroturnaround||jrebel-maven-plugin,NA,NA,NA,3,NA,1,NA,3,NA,NA,4,1,4,NA,NA,NA,NA,NA,NA,NA
org.codehaus.sonar.plugins||sonar-plugin-cpd,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,1,NA,NA,NA,NA
org.apache.cocoon||cocoon-xml-impl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA
org.kuali.student.lum||ks-lum-ui,13,NA,NA,42,NA,13,NA,13,NA,120,1,4,5,NA,NA,28,44,NA,NA,NA
com.googlecode.gwtquery||gwtquery,6,NA,NA,37,NA,36,NA,10,NA,32,21,9,81,NA,NA,8,28,NA,NA,NA
org.codehaus.fabric3||fabric3-transform-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jaitools||jt-attributeop,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
