project,version,jarsize,INPUT_VALIDATION_BUGS,SECURITY_REST,MALICIOUS_CODE,STYLE,CORRECTNESS,BAD_PRACTICE,MT_CORRECTNESS,I18N,PERFORMANCE,EXPERIMENTAL
org.apache.struts||struts-taglib,1,342125,NA,NA,29,4,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,2,348309,NA,NA,30,5,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,3,347965,NA,NA,30,5,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,4,348859,NA,NA,30,5,2,NA,NA,2,5,NA
xfire||jaxb-libs,0,1333912,NA,NA,22,22,5,29,NA,9,25,2
javax.jdo||jdo,3,115902,NA,NA,11,4,NA,6,NA,NA,NA,NA
org.sonatype.tycho||tycho-metadata-model,1,52352,NA,NA,1,NA,NA,1,NA,NA,NA,NA
org.sonatype.tycho||tycho-metadata-model,2,52352,NA,NA,1,NA,NA,1,NA,NA,NA,NA
org.fusesource.wikitext||twiki-core,1,64486,NA,NA,1,1,NA,NA,NA,NA,2,NA
org.fusesource.wikitext||twiki-core,2,64486,NA,NA,1,1,NA,NA,NA,NA,2,NA
org.fusesource.wikitext||twiki-core,3,64486,NA,NA,1,1,NA,NA,NA,NA,2,NA
org.fusesource.wikitext||twiki-core,4,64486,NA,NA,1,1,NA,NA,NA,NA,2,NA
org.eclipse.emf.ecore||change,0,148210,NA,NA,2,12,1,2,NA,NA,1,NA
org.ow2.jasmine.drools||jasmine-drools-osgi,0,38005,NA,NA,1373,816,95,387,127,207,293,71
org.ow2.jasmine.drools||jasmine-drools-osgi,0,21334,NA,NA,1373,816,94,386,127,207,293,71
org.ow2.jasmine.drools||jasmine-drools-osgi,0,43234,NA,NA,411,868,83,314,20,71,291,10
org.ow2.jasmine.drools||jasmine-drools-osgi,0,37802,NA,NA,411,868,83,314,20,71,291,10
org.ow2.jasmine.drools||jasmine-drools-osgi,0,37802,NA,NA,411,868,83,314,20,71,291,10
org.ow2.jasmine.drools||jasmine-drools-osgi,0,37802,NA,NA,411,868,83,314,20,71,291,10
org.ow2.jasmine.drools||jasmine-drools-osgi,0,37802,NA,NA,411,868,83,314,20,71,291,10
org.ow2.jasmine.drools||jasmine-drools-osgi,0,26343,NA,NA,1373,817,94,386,127,207,293,71
org.ow2.jasmine.drools||jasmine-drools-osgi,0,26387,NA,NA,1373,817,94,386,127,207,293,71
org.codehaus.mojo||truezip-maven-plugin,1,45801,NA,NA,1,2,5,NA,NA,1,NA,NA
org.codehaus.mojo||truezip-maven-plugin,2,47732,NA,NA,1,2,5,NA,NA,1,NA,NA
org.codehaus.mojo||truezip-maven-plugin,3,48797,NA,NA,1,2,5,NA,NA,1,NA,NA
org.codehaus.mojo||truezip-maven-plugin,4,54594,NA,NA,1,2,9,NA,NA,1,NA,NA
org.codehaus.mojo||truezip-maven-plugin,5,56753,NA,NA,1,2,9,NA,NA,1,NA,NA
org.ow2.cmi||cmi-api,1,43589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.ow2.cmi||cmi-api,2,45502,NA,NA,NA,1,NA,2,NA,NA,NA,NA
org.ow2.cmi||cmi-api,3,43615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.ow2.cmi||cmi-api,4,51629,NA,NA,2,1,NA,NA,NA,NA,NA,NA
org.op4j||op4j,1,1908309,NA,NA,5,1,NA,NA,NA,NA,NA,NA
org.op4j||op4j,2,2415453,NA,NA,5,1,NA,NA,NA,NA,NA,NA
org.op4j||op4j,3,2666334,NA,NA,5,1,NA,NA,NA,NA,NA,NA
org.op4j||op4j,4,2673819,NA,NA,5,1,NA,NA,NA,NA,NA,NA
org.op4j||op4j,5,2856644,NA,NA,5,1,NA,NA,NA,NA,NA,NA
org.apache.geronimo.framework||geronimo-pax-logging,2,1001708,NA,NA,12,36,5,20,11,11,26,1
easymock||easymock,1,32696,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
easymock||easymock,2,58931,NA,NA,NA,2,NA,NA,NA,NA,7,NA
easymock||easymock,3,66780,NA,NA,2,NA,NA,NA,NA,NA,7,NA
easymock||easymock,4,58931,NA,NA,NA,2,NA,NA,NA,NA,7,NA
easymock||easymock,5,68591,NA,NA,1,NA,NA,NA,NA,NA,5,NA
easymock||easymock,6,73241,NA,NA,2,NA,1,NA,NA,NA,5,NA
easymock||easymock,7,73241,NA,NA,2,NA,1,NA,NA,NA,5,NA
easymock||easymock,8,77119,NA,NA,1,NA,1,NA,NA,NA,15,NA
easymock||easymock,9,115219,NA,NA,1,NA,NA,NA,NA,NA,7,NA
org.codehaus.mojo||apt-maven-plugin,1,21989,NA,NA,NA,7,3,5,NA,2,1,NA
org.codehaus.mojo||apt-maven-plugin,2,34359,NA,NA,NA,NA,3,4,NA,4,NA,NA
org.codehaus.mojo||apt-maven-plugin,3,45358,NA,NA,1,NA,3,4,NA,2,NA,NA
org.codehaus.mojo||apt-maven-plugin,4,57349,NA,NA,1,NA,4,4,NA,2,NA,NA
